1,CHEESE - 10 inches,double layer of mozzarella,1,10,175
2,CHEESE - 14 inches,double layer of mozzarella,1,14,285
3,CHEESE   - 18 inches,double layer of mozzarella,1,18,440
4,NY Classic  - 10 inches,pepperoni,1,10,210
5,NY Classic - 14 inches,pepperoni,1,14,340
6,NY Classic   - 18 inches,pepperoni,1,18,530
7,PEPPERONI & MUSHROOM - 10 inches,pepperoni & button mushrooms,1,10,220
8,PEPPERONI & MUSHROOM - 14 inches,pepperoni & button mushrooms,1,14,250
9,PEPPERONI & MUSHROOM  - 18 inches,pepperoni & button mushrooms,1,18,540
10,MANHATTAN MEATLOVERS - 10 inches,"ham, pepperoni, Italian sausage, ground beef, salami, & bacon",1,10,250
11,MANHATTAN MEATLOVERS - 14 inches,"ham, pepperoni, Italian sausage, ground beef, salami, & bacon",1,14,295
12,MANHATTAN MEATLOVERS  - 18 inches,"ham, pepperoni, Italian sausage, ground beef, salami, & bacon",1,18,565
13,GARDEN SPECIAL - 10 inches,"fresh tomatoes, black olives, mushrooms, onions, red & green bell peppers",1,10,210
14,GARDEN SPECIAL - 14 inches,"fresh tomatoes, black olives, mushrooms, onions, red & green bell peppers",1,14,340
15,GARDEN SPECIAL  - 18 inches,"fresh tomatoes, black olives, mushrooms, onions, red & green bell peppers",1,18,530
16,HAWAIIAN - 10 inches,"ham, pineapple & bacon",1,10,210
17,HAWAIIAN - 14 inches,"ham, pineapple & bacon",1,14,340
18,HAWAIIAN  - 18 inches,"ham, pineapple & bacon",1,18,530
19,NEW YORK'S FINEST - 10 inches,"Italian sausae, haml, pepperoni, bacon, ground beef, black olives, mushroom, onions, red & green bell peppers",1,10,260
20,NEW YORK'S FINEST - 14 inches,"Italian sausae, haml, pepperoni, bacon, ground beef, black olives, mushroom, onions, red & green bell peppers",1,14,420
21,NEW YORK'S FINEST  - 18 inches,"Italian sausae, haml, pepperoni, bacon, ground beef, black olives, mushroom, onions, red & green bell peppers",1,18,575
22,TRIBECA MUSHROOM - 10 inches,"shiitake, button & oyster mushroom",2,10,245
23,TRIBECA MUSHROOM - 14 inches,"shiitake, button & oyster mushroom",2,14,390
24,TRIBECA MUSHROOM  - 18 inches,"shiitake, button & oyster mushroom",2,18,560
25,ANCHOVY LOVERS - 10 inches,"black olives, anchovies, capers, roaster garlic, mushrooms & onions",2,10,275
